PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  03/2022;  0,0; 93,9;  0,0; 13,0;---;---; 36,5;  0,0;  0,0;  0,0;  9,6;---;---; 29,8; 33,3; 14,1;  8,7;  0,0;---; 11,3;  0,0;  0,0;  0,0;  0,0;---;---; 10,5;  0,0;0,0;0,0;0,0;---;---
  04/2022;  4,1;---;---;  3,7;  3,9;  0,0;  0,0;  0,0;---;---;  4,1;  0,0;  4,0;  0,3;  0,0;---;---;  0,3;  0,0;  0,0;---;---;---;---;  0,0;  0,0;  0,0;  0,0;0,0;---;---;---;---
  05/2022;  0,0;  7,6;  0,0;  0,4;  4,7;  0,0;---;---;  0,0;  0,0;  0,0;  5,9;  0,0;---;---;  5,8;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;0,3;35,6;---;---
  06/2022;  2,5;  1,0;  0,0;---;---;  0,7;  0,0;  9,1;  0,0; 19,5;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;0,0;0,0;---;---;---
  07/2022;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;7,2;0,0;0,0;7,2;7,2
  08/2022;  0,0;  0,0;  0,0;  0,0;  0,0;---;---; 15,9;  0,0; 10,8;  3,5;  1,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  1,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;2,3;0,0;0,0;---;---
  09/2022;  0,0;  0,0;---;---; 10,2;  0,0;---; 11,1;  0,0;  0,0;  0,0;  1,2;  1,0;  0,2;  1,6;  4,4;  0,0;  0,0;  0,0;  7,2;  0,0;  0,2;  0,2;  0,0;  0,0;  0,4; 26,2; 70,1;19,2;0,0;---;---;---
  10/2022;---;---; 12,4;  0,0;  0,0;  0,0;  0,0;---;---; 17,5;  1,6;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  2,4;  0,0; 10,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,5;---;---;47,4;---;---
  11/2022; 16,6;  0,0;  4,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;---; 11,7;  0,0;  5,4; 42,2; 16,7;  0,0;  0,0;  1,0;7,1;8,4;---;---;---
  12/2022;  7,3;  0,0;---;---; 27,9; 25,9; 51,2;  0,0;  0,0;  0,0;  0,0;  0,0; 30,0;  8,6;  0,0;  0,0;  0,0;  0,0;  1,0;  5,3;  3,1;  0,7;  0,0;  0,0;  0,0;  5,9;  0,0; 30,7;5,6;8,7;0,0;---;---
  01/2023;  0,0;  2,5;  0,9;  3,8; 53,5;  6,7;  0,0;  0,0;  7,3;  0,0; 17,6;  6,7;  5,4;---;---; 35,2; 50,0;  2,6;  0,0;  0,0;  0,0;  0,0;  4,3;  7,8;---; 15,9;  0,0;---;---;28,5;2,8;---;---
  02/2023; 35,2;  1,1;  1,1;---;---; 15,2; 17,2; 69,8;  0,0;  0,0;---;---; 28,2;  8,8;  2,9;  3,3; 34,9;---;---; 37,9; 24,7;  9,4; 20,7;  4,7;  0,0;  0,0;  0,0;  0,1;---;---;---;---;---
  03/2023; 13,8;  0,0;  0,0;---;---;170,2;  0,0;  0,0;  0,0; 31,9; 43,9;---; 36,9; 18,2; 39,4;  0,0;  0,0;  0,0;  0,0;  5,1;  1,2;  0,0;  0,0;  0,0;  0,0;  0,0;  9,7;  0,0;0,0;0,0;0,0;---;---
  04/2023;  0,0;  0,0; 12,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,0;  0,0;  0,0; 14,7;  0,0;---;---; 10,7;  6,7; 50,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,3;0,0;0,0;---;---;---
  05/2023;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,1; 23,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;11,8;0,0;11,1;---;---
  06/2023; 18,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,5;  8,8;  7,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;18,8;41,5
