PREFIXO: ;E3-006
NOME DO POSTO: ;SANTO AMARO
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;PINHEIROS,R
LATITUDE: ;23°38'24"
LONGITUDE: ;46°41'33"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  11/2021; 14,2;  1,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1; 12,8;  0,0;  0,0;  0,0;---;  0,0;  0,0; 86,4;  2,0;  0,2;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;0,1;0,0;---;---;---
  12/2021; 23,5;  0,3;  0,4;  0,0;  0,2;  0,0;  0,0;  9,4;  0,3;  0,0;  0,0;  0,0;  0,0; 22,7;  4,0; 25,3;  0,2;  2,0;  0,7;  0,8;  0,0;  0,0;  8,2;  4,0;  0,4;  0,0;  2,3;  2,0;0,0;0,0;25,0;25,3;131,7
  01/2022; 34,6;  7,7;  3,6;  2,5;  5,8;  4,8;  9,4; 18,2;  3,4; 14,0;  0,1; 28,9;  0,9;  8,2;  0,0;  0,0;  8,7;  5,5;  4,1;  0,5;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,1; 23,1;89,0;11,9;0,0;89,0;297,0
  02/2022;  3,4; 14,2;  3,9;  4,6;  6,0;  0,0;  1,2; 20,6;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  8,2;  6,7;  0,0; 11,7;  1,4;  0,0;  0,0;  0,0;  3,9; 11,7;  0,0;  0,0;  0,0;  0,0;---;---;---;20,6;97,6
  03/2022;  0,0; 30,5;  0,0;---; 46,0; 10,6;  0,9;  1,6;  0,5;  0,0;  4,8; 65,1;  2,8; 19,6; 21,3;  5,5; 30,2;  0,0;  0,7;  4,0;  8,2;  0,0;  0,0;  0,0;  0,0;---;  1,9;  0,9;5,3;0,0;0,1;---;---
  04/2022;  8,5; 10,2;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,2;  0,0;  2,4;  0,0;  4,5;  1,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,2;4,8;---;10,2;35,5
  05/2022;  0,0;  0,0;  0,0;  1,6;  2,8;  3,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,4;33,9;33,9;50,0
  06/2022;  2,1;  0,5;  0,0;  3,3;  0,0;  0,0;  0,0; 13,2;  0,0; 16,8;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,3;  0,1;  0,1;  0,0;  0,0;  0,0;  0,0;  0,9;  0,0;  0,0;0,0;0,0;---;16,8;39,5
  07/2022;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;6,2;0,0;6,2;6,2
  08/2022;  0,0;  0,1;  0,0;  0,0;  0,0;  7,9;  0,0; 11,3;  0,0; 15,2;  0,5;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  3,9;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;1,2;2,1;0,0;15,2;47,4
  09/2022;  0,0;  0,0;  0,0; 10,3;  0,2;  0,0;  5,4;  8,2;  0,0;  0,0;  7,0;  0,0;  2,2;  4,6;  7,0;  1,1;  1,4;  0,2;  0,0; 15,5;  0,0;  5,8;  0,0;  0,0;  0,0;  0,8; 24,0; 46,0;17,5;0,3;---;46,0;157,5
  10/2022;  9,2;  5,8;  0,0;  1,0;  0,0;  0,0;  8,4;  0,0;  0,2; 16,3;  2,2;  0,0;  0,0;  0,0;  3,1;  1,1;  0,5;  0,1; 11,4;  0,0; 12,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;99,9;36,0;99,9;207,7
  11/2022; 11,3;  4,9;  9,1;  0,1;  1,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,6;  0,0; 56,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,4;  4,9; 36,5; 19,7;  0,2;  0,0;  5,1;27,0;23,3;---;56,0;212,0
  12/2022; 21,7;  0,0;  8,1; 13,6;  2,9; 28,9; 48,1; 22,2;  0,2;  0,1;  0,0;  0,0;  3,9; 35,3;  0,0;  0,0; 34,8;  0,0;  0,7;  5,8;  5,2;  6,1;  0,6;  0,0;  0,0;  0,2;  0,2; 20,3;14,0;5,1;0,0;48,1;278,0
